date	internal	external
2014-01-09-11-33-40	17.9	17.2
2014-01-09-11-33-41	17.9	17.2
2014-01-09-11-33-43	17.9	17.2
2014-01-09-11-33-44	17.9	17.1
2014-01-09-11-33-45	17.9	17.2
2014-01-09-11-33-46	17.8	17.2
2014-01-09-11-33-48	17.8	17.2
2014-01-09-11-33-50	17.8	17.2
2014-01-09-11-33-52	17.8	17.2
2014-01-09-11-33-54	17.8	17.2
2014-01-09-11-33-56	17.9	17.1
2014-01-09-11-33-58	17.9	17
2014-01-09-11-34-00	17.9	17
2014-01-09-11-34-02	17.9	16.9
2014-01-09-11-34-04	17.9	17
2014-01-09-11-34-07	17.9	16.9
2014-01-09-11-34-09	17.9	16.9
2014-01-09-11-34-11	17.9	17
2014-01-09-11-34-13	17.9	17.1
2014-01-09-11-34-15	17.9	17.2
2014-01-09-11-34-17	17.9	17.2
2014-01-09-11-34-19	17.8	17.3
2014-01-09-11-34-21	17.8	17.3
2014-01-09-11-34-23	17.8	17.3
2014-01-09-11-34-25	17.7	17.3
2014-01-09-11-34-27	17.7	17.2
2014-01-09-11-34-29	17.7	17.1
2014-01-09-11-34-31	17.6	17.1
2014-01-09-11-34-33	17.7	17.1
2014-01-09-11-34-35	17.6	17.1
2014-01-09-11-34-37	17.6	17.1
2014-01-09-11-34-39	17.6	17.1
2014-01-09-11-34-41	17.6	17.1
2014-01-09-11-34-43	17.6	17.2
2014-01-09-11-34-45	17.7	17.2
2014-01-09-11-34-48	17.7	17.3
2014-01-09-11-34-50	17.7	17.3
2014-01-09-11-34-52	17.7	17.2
2014-01-09-11-34-54	17.7	17.2
2014-01-09-11-34-56	17.7	17.1
2014-01-09-11-34-58	17.7	17
2014-01-09-11-35-00	17.7	16.9
2014-01-09-11-35-02	17.8	16.9
2014-01-09-11-35-04	17.8	16.9
2014-01-09-11-35-06	17.8	16.9
2014-01-09-11-35-08	17.8	16.9
2014-01-09-11-35-10	17.8	17
2014-01-09-11-35-14	17.8	17
2014-01-09-11-35-30	17.7	17
2014-01-09-11-35-31	17.7	17
2014-01-09-11-35-32	17.7	17
2014-01-09-11-35-33	17.7	17
2014-01-09-11-35-34	17.7	17
2014-01-09-11-35-36	17.7	16.9
2014-01-09-11-35-37	17.7	16.9
2014-01-09-11-35-38	17.7	16.9
2014-01-09-11-35-40	17.7	16.9
2014-01-09-11-35-42	17.7	16.9
2014-01-09-11-35-44	17.6	16.9
2014-01-09-11-35-46	17.6	16.9
2014-01-09-11-35-49	17.6	16.9
2014-01-09-11-35-51	17.6	16.8
2014-01-09-11-35-53	17.6	16.8
2014-01-09-11-35-55	17.6	16.8
2014-01-09-11-35-57	17.6	16.8
2014-01-09-11-35-59	17.7	16.8
2014-01-09-11-36-02	17.7	16.8
2014-01-09-11-36-05	17.7	16.8
2014-01-09-11-36-08	17.7	16.8
2014-01-09-11-36-10	17.7	16.8
2014-01-09-11-36-12	17.7	16.8
2014-01-09-11-36-14	17.7	16.8
2014-01-09-11-36-16	17.7	16.9
2014-01-09-11-36-19	17.7	16.9
2014-01-09-11-36-21	17.7	17
2014-01-09-11-36-25	17.7	17
2014-01-09-11-36-26	17.7	17
2014-01-09-11-36-27	17.7	17
2014-01-09-11-36-29	17.7	17
2014-01-09-11-36-31	17.8	17.1
2014-01-09-11-36-33	17.8	17.1
2014-01-09-11-36-35	17.8	17.1
2014-01-09-11-36-37	17.8	17
2014-01-09-11-36-39	17.8	17
2014-01-09-11-36-41	17.9	17
